filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
zlfs,seq_write,4k,1,1,2853932,713483.217226,1221.931664,282,580,16192,0,0
zlfs,seq_write,4k,4,1,2784082,696020.532649,5559.752845,10560,29056,43264,0,0
zlfs,seq_write,4k,16,1,2600541,650135.362155,24407.14522,36096,57088,102912,0,0
zlfs,seq_write,4k,32,1,2700931,675232.758908,47182.328564,83456,125440,222208,0,0
zlfs,seq_write,16k,1,1,6209067,388066.731109,2364.797957,306,652,16320,0,1
zlfs,seq_write,16k,4,1,5917512,369844.505183,10618.578402,19328,37632,44800,0,0
zlfs,seq_write,16k,16,1,6032813,377050.864971,42241.654465,73216,104960,185344,0,0
zlfs,seq_write,16k,32,1,5508714,344294.656845,92720.38385,127488,175104,411648,0,0
zlfs,seq_write,64k,1,1,8932615,139572.114263,6943.005368,516,804,19328,0,0
zlfs,seq_write,64k,4,1,8434289,131785.773808,30113.368549,39168,72192,136192,0,0
zlfs,seq_write,64k,16,1,8396251,131191.426952,121720.298602,191488,276480,374784,0,0
zlfs,seq_write,64k,32,1,8325301,130082.830572,245724.681321,378880,477184,1286144,0,0
zlfs,seq_write,128k,1,1,9360097,73125.762475,13391.399167,548,4512,34560,0,0
zlfs,seq_write,128k,4,1,9000694,70317.922736,56626.253817,85504,185344,280576,0,0
zlfs,seq_write,128k,16,1,9002468,70331.78894,227213.397226,346112,444416,1220608,.0005,0
zlfs,seq_write,128k,32,1,8329446,65073.79754,491410.987194,610304,856064,2670592,0,0
zlfs,seq_read,4k,1,1,3473828,868457.184761,980.641646,270,540,14528,N/A,0
zlfs,seq_read,4k,4,1,3524527,881131.828939,4364.101672,7264,28288,38656,N/A,0
zlfs,seq_read,4k,16,1,3491962,872990.666978,18142.741969,32640,148480,193536,N/A,0
zlfs,seq_read,4k,32,1,3347771,836942.901903,38007.976283,50432,78336,156672,N/A,0
zlfs,seq_read,16k,1,1,8282203,517637.745408,1760.425096,253,596,14400,N/A,0
zlfs,seq_read,16k,4,1,7841155,490072.197593,7964.614593,12864,22144,50432,N/A,0
zlfs,seq_read,16k,16,1,7706435,481652.244925,32993.705197,58624,96768,168960,N/A,0
zlfs,seq_read,16k,32,1,7386862,461678.877371,69025.708925,93696,185344,296960,N/A,0
zlfs,seq_read,64k,1,1,11877756,185589.947002,5189.439711,314,772,13248,N/A,0
zlfs,seq_read,64k,4,1,11623906,181623.545882,21805.67151,30848,62208,117248,N/A,0
zlfs,seq_read,64k,16,1,11283615,176306.489784,90420.799525,148480,280576,444416,N/A,0
zlfs,seq_read,64k,32,1,11600784,181262.257925,176257.027582,244736,419840,806912,N/A,0
zlfs,seq_read,128k,1,1,13331843,104155.028166,9387.041507,362,836,19328,N/A,0
zlfs,seq_read,128k,4,1,11782698,92052.333333,43152.704315,46336,80384,187392,N/A,0
zlfs,seq_read,128k,16,1,11541772,90170.09433,176965.273305,218112,329728,733184,N/A,0
zlfs,seq_read,128k,32,1,12349553,96480.883971,331015.749192,411648,618496,1630208,N/A,0
