filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
zlfs,seq_write,4k,1,1,2899423,724855.904803,1205.946803,262,572,16320,0,0
zlfs,seq_write,4k,4,1,2648365,662091.463618,5853.821926,10816,26240,41216,0,0
zlfs,seq_write,4k,16,1,2723902,680975.70081,23306.08714,41728,164864,230400,0,0
zlfs,seq_write,4k,32,1,2709323,677330.955635,47026.09842,81408,116224,222208,0,0
zlfs,seq_write,16k,1,1,6337653,396103.363221,2344.007545,310,684,16768,0,1
zlfs,seq_write,16k,4,1,6180501,386281.323956,10159.26296,18816,38144,58112,0,0
zlfs,seq_write,16k,16,1,5936089,371005.599813,42916.537535,75264,114176,207872,0,0
zlfs,seq_write,16k,32,1,5870924,366932.80224,87014.242551,140288,187392,428032,0,0
zlfs,seq_write,64k,1,1,8520985,133140.39532,7268.802008,494,940,13632,.0001,0
zlfs,seq_write,64k,4,1,8599269,134363.58788,29551.158238,42752,71168,125440,0,0
zlfs,seq_write,64k,16,1,8024011,125375.187494,127349.868746,181248,216064,593920,0,0
zlfs,seq_write,64k,32,1,7977733,124652.078264,256457.826774,317440,419840,1318912,0,0
zlfs,seq_write,128k,1,1,9523330,74401.019966,13181.935783,572,4896,31360,0,0
zlfs,seq_write,128k,4,1,9070059,70859.838005,56190.579336,82432,121344,240640,0,0
zlfs,seq_write,128k,16,1,9007426,70370.520983,227095.676786,292864,395264,1105920,0,0
zlfs,seq_write,128k,32,1,7363462,57527.049098,555844.618994,684032,1122304,3096576,.0011,0
zlfs,seq_read,4k,1,1,3534403,883600.979967,960.789828,255,494,16320,N/A,0
zlfs,seq_read,4k,4,1,3641065,910266.291124,4222.11464,7072,31360,45312,N/A,0
zlfs,seq_read,4k,16,1,3656758,914189.660345,17312.81279,31616,57600,94720,N/A,0
zlfs,seq_read,4k,32,1,3521976,880494.183527,36123.756976,69120,195584,228352,N/A,0
zlfs,seq_read,16k,1,1,8297661,518603.813206,1750.178279,294,628,12096,N/A,0
zlfs,seq_read,16k,4,1,8237387,514836.705443,7589.72381,13376,35072,70144,N/A,0
zlfs,seq_read,16k,16,1,7952399,497024.999167,31974.799024,42240,81408,130560,N/A,0
zlfs,seq_read,16k,32,1,7417688,463605.51315,68743.462906,100864,164864,257024,N/A,0
zlfs,seq_read,64k,1,1,12401751,193777.374088,4967.833523,294,692,19328,N/A,0
zlfs,seq_read,64k,4,1,11692463,182694.743509,21679.540209,31104,60672,114176,N/A,0
zlfs,seq_read,64k,16,1,11381308,177832.938902,89617.486195,154624,284672,399360,N/A,0
zlfs,seq_read,64k,32,1,11461130,179080.163995,178236.600169,317440,423936,790528,N/A,0
zlfs,seq_read,128k,1,1,12636156,98719.976001,9896.921977,382,972,35072,N/A,0
zlfs,seq_read,128k,4,1,12406579,96926.402453,40995.943014,64256,232448,280576,N/A,0
zlfs,seq_read,128k,16,1,12381948,96733.975534,164961.728086,264192,399360,839680,N/A,0
zlfs,seq_read,128k,32,1,11890867,92897.40342,343749.946302,403456,509952,1990656,N/A,0
