filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets,bandwidth_MBps,lat_mean_us,lat_p99_us,lat_p999_us
btrfs,seq_write,4k,4,1,99531.0,24882.937235,158999.06745,185344.0,238592.0,337920.0,1.0,0.0,97.1982421875,158.99906745,185.344,238.592
btrfs,seq_write,4k,16,1,98469.0,24617.412753,648150.378309,806912.0,929792.0,11468800.0,1.026,1.0,96.1611328125,648.1503783090001,806.912,929.792
btrfs,seq_write,4k,32,1,96900.0,24225.025832,1319094.149056,1679360.0,6979584.0,31588352.0,1.0265,56.0,94.62890625,1319.0941490559999,1679.36,6979.584
btrfs,seq_write,16k,1,1,201442.0,12590.146995,78161.546401,94720.0,222208.0,5406720.0,1.0132,4.0,196.720703125,78.161546401,94.72,222.208
btrfs,seq_write,16k,4,1,368310.0,23019.432686,171878.940683,201728.0,362496.0,757760.0,1.0042,0.0,359.677734375,171.878940683,201.728,362.496
btrfs,seq_write,16k,16,1,284055.0,17753.441552,899271.598012,864256.0,1105920.0,750780416.0,1.0083,23.0,277.3974609375,899.271598012,864.256,1105.92
btrfs,seq_write,16k,32,1,292438.0,18277.390754,1748622.579569,3620864.0,74973184.0,541065216.0,1.0156,239.0,285.583984375,1748.622579569,3620.864,74973.184
btrfs,seq_write,64k,1,1,461644.0,7213.197492,137335.813899,378880.0,626688.0,733184.0,1.0018,5.0,450.82421875,137.335813899,378.88,626.688
btrfs,seq_write,64k,4,1,427115.0,6673.677544,597217.655349,847872.0,81264640.0,206569472.0,1.0001,1.0,417.1044921875,597.217655349,847.872,81264.64
btrfs,seq_write,64k,16,1,407451.0,6366.43026,2511194.347249,35389440.0,110624768.0,2264924160.0,1.0014,1.0,397.9013671875,2511.1943472489997,35389.44,110624.768
btrfs,seq_write,64k,32,1,372052.0,5813.312905,5502329.061541,61079552.0,683671552.0,4731174912.0,1.0026,245.0,363.33203125,5502.329061541001,61079.552,683671.552
btrfs,seq_write,128k,1,1,371909.0,2905.543399,342512.792097,634880.0,34340864.0,170917888.0,1.0017,60.0,363.1923828125,342.512792097,634.88,34340.864
btrfs,seq_write,128k,4,1,386083.0,3016.280463,1323433.294789,1204224.0,107479040.0,792723456.0,1.0013,0.0,377.0341796875,1323.433294789,1204.224,107479.04
btrfs,seq_write,128k,16,1,404187.0,3157.717786,5063757.594976,73924608.0,566231040.0,3372220416.0,1.0014,157.0,394.7138671875,5063.757594975999,73924.608,566231.04
btrfs,seq_write,128k,32,1,341046.0,2664.424606,12006658.876004,85458944.0,952107008.0,3909091328.0,1.0015,59.0,333.052734375,12006.658876004,85458.944,952107.008
btrfs,seq_read,4k,1,1,64021.0,16005.39982,61336.827208,86528.0,214016.0,477184.0,,0.0,62.5205078125,61.336827208,86.528,214.016
btrfs,seq_read,4k,4,1,132296.0,33074.197527,119494.827434,148480.0,268288.0,505856.0,,0.0,129.1953125,119.494827434,148.48,268.288
btrfs,seq_read,4k,16,1,130485.0,32621.41262,489015.660618,602112.0,741376.0,1728512.0,,0.0,127.4267578125,489.015660618,602.112,741.376
btrfs,seq_read,4k,32,1,130497.0,32624.345855,979383.518732,1171456.0,1400832.0,3588096.0,,0.0,127.4384765625,979.383518732,1171.456,1400.832
btrfs,seq_read,16k,1,1,198589.0,12411.819606,79319.058652,108032.0,254976.0,370688.0,,0.0,193.9345703125,79.31905865200001,108.032,254.976
btrfs,seq_read,16k,4,1,404428.0,25276.790774,156811.681745,177152.0,354304.0,473088.0,,0.0,394.94921875,156.81168174500002,177.152,354.304
btrfs,seq_read,16k,16,1,392571.0,24535.748808,650681.642137,798720.0,913408.0,2146304.0,,0.0,383.3701171875,650.681642137,798.72,913.408
btrfs,seq_read,16k,32,1,393430.0,24589.380354,1299656.387031,1597440.0,1744896.0,1925120.0,,0.0,384.208984375,1299.6563870310001,1597.44,1744.896
btrfs,seq_read,64k,1,1,544274.0,8504.283191,116274.695575,142336.0,276480.0,618496.0,,0.0,531.517578125,116.27469557500001,142.336,276.48
btrfs,seq_read,64k,4,1,946801.0,14793.773541,269109.642952,280576.0,436224.0,708608.0,,0.0,924.6103515625,269.109642952,280.576,436.224
btrfs,seq_read,64k,16,1,945037.0,14766.207793,1082187.933531,1384448.0,1482752.0,3850240.0,,0.0,922.8876953125,1082.187933531,1384.448,1482.752
btrfs,seq_read,64k,32,1,952473.0,14882.40392,2148612.157581,2539520.0,3194880.0,6979584.0,,0.0,930.1494140625,2148.6121575810002,2539.52,3194.88
btrfs,seq_read,128k,1,1,743416.0,5807.939735,170796.472016,207872.0,593920.0,741376.0,,0.0,725.9921875,170.79647201600002,207.872,593.92
btrfs,seq_read,128k,4,1,1246998.0,9742.175261,409323.895684,395264.0,528384.0,1089536.0,,0.0,1217.771484375,409.323895684,395.264,528.384
btrfs,seq_read,128k,16,1,1229194.0,9603.079897,1664527.517789,1990656.0,2277376.0,5668864.0,,0.0,1200.384765625,1664.527517789,1990.656,2277.376
btrfs,seq_read,128k,32,1,1277137.0,9977.634079,3205331.333799,3981312.0,4423680.0,4882432.0,,0.0,1247.2041015625,3205.331333799,3981.312,4423.68
f2fs,seq_write,4k,1,1,56783.0,14195.926802,69325.083606,1208.0,14656.0,41728.0,1.0,0.0,55.4521484375,69.325083606,1.208,14.656
f2fs,seq_write,4k,4,1,54076.0,13519.149362,294722.554849,358400.0,501760.0,1515520.0,1.0,0.0,52.80859375,294.722554849,358.4,501.76
f2fs,seq_write,4k,16,1,61079.0,15269.957668,1046521.657219,1384448.0,1646592.0,7766016.0,1.0,0.0,59.6474609375,1046.521657219,1384.448,1646.592
f2fs,seq_write,4k,32,1,61996.0,15499.216693,2062866.702311,2539520.0,2998272.0,11206656.0,1.0,0.0,60.54296875,2062.866702311,2539.52,2998.272
f2fs,seq_write,16k,1,1,175975.0,10998.466718,89822.944637,1288.0,6944.0,43776.0,1.0,61.0,171.8505859375,89.82294463699999,1.288,6.944
f2fs,seq_write,16k,4,1,170917.0,10682.343922,373348.965942,382976.0,528384.0,1695744.0,1.0,80.0,166.9111328125,373.348965942,382.976,528.384
f2fs,seq_write,16k,16,1,191347.0,11959.20136,1336507.666382,1531904.0,2441216.0,9109504.0,1.0,79.0,186.8623046875,1336.507666382,1531.904,2441.216
f2fs,seq_write,16k,32,1,165658.0,10353.654878,3088331.474065,3194880.0,15269888.0,111673344.0,1.0,82.0,161.775390625,3088.3314740650003,3194.88,15269.888
f2fs,seq_write,64k,1,1,331931.0,5186.43732,191723.050716,3728.0,14400.0,45824.0,1.0,67.0,324.1513671875,191.723050716,3.728,14.4
f2fs,seq_write,64k,4,1,319656.0,4994.633512,799609.035323,1974272.0,17432576.0,36438016.0,1.0,104.0,312.1640625,799.6090353230001,1974.272,17432.576
f2fs,seq_write,64k,16,1,253384.0,3959.134696,4039168.061964,19267584.0,37486592.0,8220835840.0,1.0,75.0,247.4453125,4039.168061964,19267.584,37486.592
f2fs,seq_write,64k,32,1,321899.0,5029.676822,6358648.936146,19529728.0,42729472.0,7147094016.0,1.0,9.0,314.3544921875,6358.648936146001,19529.728,42729.472
f2fs,seq_write,128k,1,1,410648.0,3208.19306,310411.932477,5152.0,14912.0,36096.0,1.0,0.0,401.0234375,310.411932477,5.152,14.912
f2fs,seq_write,128k,4,1,401760.0,3138.753764,1272951.996858,2998272.0,33423360.0,834666496.0,1.0,0.0,392.34375,1272.951996858,2998.272,33423.36
f2fs,seq_write,128k,16,1,425376.0,3323.255891,4811903.034232,28966912.0,65798144.0,2499805184.0,1.0,0.0,415.40625,4811.903034232,28966.912,65798.144
f2fs,seq_write,128k,32,1,448603.0,3504.717137,9124214.45949,39583744.0,683671552.0,1019215872.0,1.0,198.0,438.0888671875,9124.21445949,39583.744,683671.552
f2fs,seq_read,4k,1,1,2923735.0,730933.902203,1173.309151,310.0,612.0,16768.0,,0.0,2855.2099609375,1.173309151,0.31,0.612
f2fs,seq_read,4k,4,1,3020667.0,755166.761108,5093.642304,4896.0,29056.0,51968.0,,0.0,2949.8701171875,5.093642304,4.896,29.056
f2fs,seq_read,4k,16,1,2968992.0,742248.058398,21336.060532,39168.0,67072.0,118272.0,,1.0,2899.40625,21.336060532,39.168,67.072
f2fs,seq_read,4k,32,1,3014672.0,753668.111063,42218.239164,78336.0,109056.0,173056.0,,0.0,2944.015625,42.218239163999996,78.336,109.056
f2fs,seq_read,16k,1,1,6992704.0,437044.031866,2072.683519,330.0,652.0,13248.0,,0.0,6828.8125,2.0726835190000004,0.33,0.652
f2fs,seq_read,16k,4,1,7372369.0,460773.107563,8482.827194,11584.0,35584.0,76288.0,,0.0,7199.5791015625,8.482827193999999,11.584,35.584
f2fs,seq_read,16k,16,1,7192505.0,449531.582281,35341.172087,67072.0,96768.0,154624.0,,0.0,7023.9306640625,35.341172087,67.072,96.768
f2fs,seq_read,16k,32,1,7081995.0,442624.745842,71990.474904,116224.0,185344.0,301056.0,,0.0,6916.0107421875,71.990474904,116.224,185.344
f2fs,seq_read,64k,1,1,11141907.0,174092.296923,5513.900893,378.0,996.0,13504.0,,0.0,10880.7685546875,5.513900893,0.378,0.996
f2fs,seq_read,64k,4,1,11050710.0,172667.344422,22911.567774,33024.0,160768.0,181248.0,,0.0,10791.708984375,22.911567773999998,33.024,160.768
f2fs,seq_read,64k,16,1,10884441.0,170069.397687,93700.51488,154624.0,301056.0,407552.0,,0.0,10629.3369140625,93.70051488,154.624,301.056
f2fs,seq_read,64k,32,1,10380814.0,162200.226659,196765.455512,250880.0,374784.0,806912.0,,0.0,10137.513671875,196.765455512,250.88,374.784
f2fs,seq_read,128k,1,1,12376632.0,96692.443585,10031.937349,418.0,1048.0,22400.0,,0.0,12086.5546875,10.031937349,0.418,1.048
f2fs,seq_read,128k,4,1,11837301.0,92478.917369,42928.974435,66048.0,94720.0,179200.0,,0.0,11559.8642578125,42.92897443499999,66.048,94.72
f2fs,seq_read,128k,16,1,11308145.0,88344.888504,180719.009196,222208.0,272384.0,675840.0,,0.0,11043.1103515625,180.719009196,222.208,272.384
f2fs,seq_read,128k,32,1,11277234.0,88103.396553,362374.667221,428032.0,684032.0,1761280.0,,0.0,11012.923828125,362.37466722100004,428.032,684.032
