filesystem,workload,block_size,queue_depth,bandwidth_MBps_mean,bandwidth_MBps_std,iops_mean,iops_std,lat_mean_us_mean,lat_mean_us_std,lat_p99_us_mean,lat_p99_us_std,lat_p999_us_mean,lat_p999_us_std,write_amplification_mean,write_amplification_std
f2fs,seq_write,4k,16,59.6474609375,,15269.957668,,1046.521657219,,1384.448,,1646.592,,1.0,
f2fs,seq_write,4k,32,60.54296875,,15499.216693,,2062.866702311,,2539.52,,2998.272,,1.0,
f2fs,seq_write,64k,1,324.1513671875,,5186.43732,,191.723050716,,3.728,,14.4,,1.0,
f2fs,seq_write,64k,4,312.1640625,,4994.633512,,799.6090353230001,,1974.272,,17432.576,,1.0,
f2fs,seq_write,64k,16,247.4453125,,3959.134696,,4039.168061964,,19267.584,,37486.592,,1.0,
f2fs,seq_write,64k,32,314.3544921875,,5029.676822,,6358.648936146001,,19529.728,,42729.472,,1.0,
zlfs,seq_read,128k,1,9381.169921875,,75049.36502133333,,16.267117639,,9.506666666666666,,14.0,,,
zlfs,seq_read,128k,4,8798.1396484375,,70385.12107733333,,82.97106059566667,,116.39466666666668,,240.128,,,
zlfs,seq_read,128k,16,8706.307942708334,,69650.46720666667,,350.3536007913333,,465.2373333333333,,873.8133333333334,,,
zlfs,seq_read,128k,32,8802.147786458334,,70417.186094,,706.6000644280001,,864.256,,1746.944,,,
zlfs,seq_read,16k,1,5547.060872395833,,355011.930649,,7.514248112000001,,8.929,,14.658666666666665,,,
zlfs,seq_read,16k,4,5388.5009765625,,344864.0787896667,,44.97855392766666,,71.89333333333333,,116.69333333333331,,,
zlfs,seq_read,16k,16,5252.113932291667,,336135.339933,,195.87829453566667,,283.4773333333333,,352.9386666666667,,,
zlfs,seq_read,16k,32,4973.4658203125,,318301.8190626667,,400.4592555796667,,559.104,,681.984,,,
zlfs,seq_read,4k,1,2321.824544270833,,594387.2759796666,,6.339616823666667,,8.836333333333334,,14.083333333333334,,,
zlfs,seq_read,4k,4,2373.2819010416665,,607560.2702133333,,40.45640406066667,,70.656,,131.15733333333336,,,
zlfs,seq_read,4k,16,2367.7418619791665,,606142.0730423332,,177.28327537033334,,257.6213333333333,,356.7786666666667,,,
zlfs,seq_read,4k,32,2276.951497395833,,582899.7255646667,,360.38857960966664,,479.488,,612.864,,,
zlfs,seq_read,64k,1,8452.263671875,,135236.22925233337,,10.969196931666664,,9.034666666666666,,13.544,,,
zlfs,seq_read,64k,4,8112.926106770833,,129806.82866133336,,62.30689246866666,,91.30666666666669,,144.04266666666666,,,
zlfs,seq_read,64k,16,7906.471028645833,,126503.538771,,264.706438321,,372.736,,622.592,,,
zlfs,seq_read,64k,32,8049.6943359375,,128795.11794066668,,521.9764446786667,,703.488,,1149.6106666666667,,,
zlfs,seq_write,128k,1,6965.801432291667,,55726.41636933334,,20.644228895,,9.290666666666667,,17.386666666666667,,0.0,
zlfs,seq_write,128k,4,6719.161783854167,,53753.29711233333,,98.91146249266667,,134.82666666666665,,212.13866666666664,,0.0,
zlfs,seq_write,128k,16,6667.566080729167,,53340.53309333333,,422.2194509866667,,542.0373333333333,,708.608,,0.0001666666666666,
zlfs,seq_write,128k,32,5874.984375,,46999.87778166667,,923.3905336916667,,1135.9573333333333,,1495.04,,0.0003666666666666,
zlfs,seq_write,16k,1,4229.831380208333,,270709.24302533333,,8.315596633333332,,9.122666666666666,,13.672,,0.0,
zlfs,seq_write,16k,4,4088.41796875,,261658.76693,,48.11234528533333,,79.27466666666668,,137.89866666666666,,0.0,
zlfs,seq_write,16k,16,4043.5764973958335,,258788.93270566667,,211.716205354,,293.888,,430.7626666666667,,0.0064333333333333,
zlfs,seq_write,16k,32,3848.4768880208335,,246302.55658166663,,440.1309103996667,,588.9706666666666,,847.1893333333334,,0.0065666666666666,
zlfs,seq_write,4k,1,1911.7268880208333,,489402.25325800007,,6.884955139333332,,8.928,,13.952,,0.0,
zlfs,seq_write,4k,4,1806.8434244791667,,462552.0654223333,,43.80538736766666,,70.272,,118.784,,0.0,
zlfs,seq_write,4k,16,1772.3079427083333,,453710.9985223333,,188.51592264566668,,259.4133333333333,,403.02933333333334,,0.0,
zlfs,seq_write,4k,32,1800.3294270833333,,460884.4048476666,,380.8207475336667,,494.592,,684.032,,0.0,
zlfs,seq_write,64k,1,6172.561848958333,,98760.99685566669,,13.728892132333334,,9.168666666666667,,14.490666666666666,,3.3333333333333335e-05,
zlfs,seq_write,64k,4,6033.842122395833,,96541.48195066668,,71.53515698733334,,99.328,,154.96533333333335,,0.0,
zlfs,seq_write,64k,16,5836.888020833333,,93390.21592633332,,303.8664701476667,,401.408,,512.3413333333333,,0.0,
zlfs,seq_write,64k,32,5785.740885416667,,92571.85871566668,,626.2488044013334,,797.3546666666666,,957.0986666666666,,0.0,
